geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
'VGF'	0.757	0.506	'CHGA'	0.728	0.45	'DDX5'	-0.64	-0.556	'FOXP4'	0.637	0.535	'SLC25A23'	0.674	0.417	'SEPT9'	0.807	0.504	'METRN'	0.73	2031274	1164820	6621
'CALY'	0.751	0.58	'AKT1S1'	0.727	0.649	'SCG5'	-0.654	-0.346	'PNPLA2'	0.637	0.576	'FN3K'	0.67	0.542	'RNF187'	0.797	0.578	'RPL37A'	0.73	183343	111178	5232
'NENF'	0.744	0.649	'MIB2'	0.718	0.63	'LOC643355'	-0.656	0	'POFUT2'	0.617	0.467	'ABTB1'	0.669	0.393	'CTSD'	0.791	0.657	'ARHGDIA'	0.73	754186	333379	5498
'RPL11'	0.731	0.657	'CSNK1D'	0.717	0.61	'CPE'	-0.705	-0.047	'C19orf66'	0.613	0.418	'RNF208'	0.668	0.296	'SCAMP4'	0.791	0.711	'RPLP1'	0.72	99182	44384	4239
'CNIH2'	0.724	0.595	'STX1A'	0.716	0.487				'LRRC61'	0.606	0.446	'TRNP1'	0.665	0.304	'SPNS2'	0.789	0.121	'RPL13'	0.72	596204	287127	4400
'COX8A'	0.724	0.589	'SLC22A17'	0.715	0.527				'PDX1'	0.606	0.156	'SGK223'	0.662	0.144	'CDC42EP1'	0.789	0.091	'RAB11B'	0.72	1164693	479778	2213
'RPS11'	0.715	0.64	'PLEC'	0.715	0.624				'PTPRN'	0.606	0.515	'DVL1'	0.661	0.316	'ZNF428'	0.788	0.666	'BCAM'	0.72	1075682	492578	4184
'SLC22A17'	0.71	0.527	'GPR56'	0.712	0.519				'ZDHHC1'	0.603	0.516	'MINK1'	0.652	0.58	'CITED4'	0.787	0.42	'RPL18'	0.72	1224096	602634	4383
'RPS23'	0.709	0.556	'ATP2A3'	0.711	0.419				'LOC728392'	0.601	0.432	'EMC10'	0.65	0.461	'TMED9'	0.786	0.612	'ATP5D'	0.71	1383995	743195	6126
'RPS13'	0.709	0.58	'NSMF'	0.709	0.563				'ATP6V1B2'	-0.606	-0.289	'MAP2K2'	0.645	0.534	'ACTN4'	0.786	0.573	'RPL37'	0.71	1516302	897381	4646
'H2AFJ'	0.702	0.589	'FAM69B'	0.7	0.382				'NDUFB6'	-0.607	-0.274	'CSNK1G2'	0.644	0.458	'PTBP1'	0.784	0.575	'SCAMP4'	0.71	2091556	1083413	4204
'RPS15A'	0.701	0.637	'DTX3'	0.697	0.529				'ENPP2'	-0.613	-0.321	'PPP2R4'	0.644	0.51	'HNRNPA0'	0.784	0.501	'SF3A2'	0.71	2404472	1361904	4888
'NPDC1'	0.699	0.613	'PTMS'	0.696	0.587				'PPP1CB'	-0.62	-0.524	'SRRM2'	0.643	0.537	'ERH'	0.781	0.576	'TAAR5'	0.71	2071325	1366853	4517
'PODXL2'	0.697	0.629	'CD151'	0.696	0.615				'DSTN'	-0.624	-0.378	'XAB2'	0.639	0.36	'PPP1R14B'	0.781	0.516	'CLPTM1'	0.70	810643	381246	4843
'MRPL23'	0.697	0.623	'CUEDC1'	0.696	0.553				'HSBP1'	-0.634	-0.463	'PGP'	0.637	0.533	'SOD3'	0.779	0.241	'RPS16'	0.70	2592901	1422544	4505
'CD151'	0.695	0.615	'ZNF358'	0.694	0.547				'PPY'	-0.641	-0.56	'TNIP1'	0.636	0.481	'RPS2'	0.778	0.648	'C4orf48'	0.70	1897165	1211809	3089
'RPS29'	0.694	0.618	'TLE2'	0.69	0.559				'NDUFA1'	-0.651	-0.49	'CSAD'	0.633	0.19	'PLXNB2'	0.776	0.527	'RPL35'	0.70	1771301	889404	2455
'RPL12'	0.69	0.588	'CBX6'	0.689	0.592				'H3F3B'	-0.679	-0.536	'ARHGEF12'	0.632	0.19	'RPS16'	0.775	0.704	'TMUB1'	0.70	2273328	1152829	5629
'VWA1'	0.689	0.581	'AKAP8L'	0.689	0.583				'SET'	-0.68	-0.575	'LRWD1'	0.631	0.315	'MYH14'	0.774	0.571	'ATP5E'	0.70	2100037	898445	2980
'RPL30'	0.687	0.589	'NCOR2'	0.689	0.625				'TSPYL1'	-0.698	-0.553	'ATP13A2'	0.63	0.484	'VPS37B'	0.773	0.418	'C1orf86'	0.70	213983	48338	4231
'RPL27A'	0.686	0.536	'VAT1'	0.687	0.559				'TPD52'	-0.703	-0.311	'SKI'	0.63	0.327	'AKT1S1'	0.773	0.649	'RPL28'	0.70	2189546	1019047	5606
'MAP1LC3A'	0.686	0.619	'PTPRN'	0.686	0.515				'PCP4'	-0.706	-0.258	'INPP5E'	0.627	0.41	'GNB2'	0.773	0.652	'TAF10'	0.69	1143116	796913	2972
'RPL35A'	0.686	0.608	'RAB26'	0.686	0.488				'SRP9'	-0.717	-0.605	'MARVELD3'	0.626	0.236	'LRP10'	0.772	0.567	'ATP6V0C'	0.69	1168933	417941	5572
'CLSTN3'	0.684	0.61	'MYH14'	0.685	0.571							'AP2A2'	0.617	0.464	'R3HDM4'	0.771	0.634	'RAB5C'	0.69	1787236	977066	4866
'H1FX'	0.684	0.621	'LAMP1'	0.683	0.51							'PPP1R14B'	0.617	0.516	'MGAT4B'	0.771	0.581	'AP1S1'	0.68	2802565	1413131	3639
'C5orf38'	0.682	0.512	'APLP1'	0.681	0.428							'PRKACA'	0.617	0.487	'VAC14'	0.767	0.4	'NDUFA11'	0.67	2559759	1177308	4124
'EDF1'	0.682	0.608	'CACNA1H'	0.679	0.458							'ANKRD9'	0.614	0.33	'CEBPB'	0.764	0.404	'BSG'	0.67	2366969	1314252	5306
'RPS19'	0.681	0.521	'FLJ22184'	0.673	0.569							'IER5L'	0.613	0.169	'CYBA'	0.763	0.242	'RAB1B'	0.67	2010710	1042830	4812
'PNRC1'	0.68	0.566	'JUP'	0.666	0.566							'ANKRD52'	0.613	0.449	'C19orf43'	0.761	0.596	'ZNF428'	0.67	2831015	1312184	3177
'PARVB'	0.68	0.513	'PDX1'	0.665	0.156							'ATP11A'	0.612	0.203	'EPN1'	0.761	0.641	'SNRNP70'	0.67	2037607	848842	5954
'CELF3'	0.676	0.587	'PLXNB2'	0.664	0.527							'FNTA'	0.612	0.289	'BRI3'	0.76	0.644	'APH1A'	0.66	1014275	459322	5126
'RPS12'	0.674	0.574	'PNPLA2'	0.664	0.576							'GOLGA2P7'	0.61	0.269	'LAMA5'	0.76	0.437	'AES'	0.66	2377543	1247213	6058
'RPL3'	0.673	0.512	'FBXO2'	0.662	0.497							'VEGFB'	0.609	0.371	'SNRNP70'	0.758	0.665	'SNHG7'	0.66	1296883	612488	3723
'UBA52'	0.672	0.593	'TCEA2'	0.66	0.538							'DNAJB2'	0.609	0.44	'ATF6B'	0.757	0.396	'GAA'	0.66	1457413	684485	4978
'RPL31'	0.67	0.467	'TSR3'	0.658	0.588							'LINC01278'	0.607	0.399	'LAMP1'	0.757	0.51	'CTSD'	0.66	704888	419802	4224
'NUCB1'	0.668	0.587	'KCNQ2'	0.657	0.276							'BOK'	0.605	0.521	'CDC42EP5'	0.757	0.214	'RPL11'	0.66	2414810	1215978	4973
'RPL14'	0.666	0.589	'CDK5R2'	0.655	0.573							'WIZ'	0.604	0.323	'HES4'	0.755	0.242	'TAPT1-AS1'	0.66	1434554	547078	5611
'RPL23'	0.666	0.517	'MAPRE3'	0.655	0.593							'HPN'	0.604	0.352	'C17orf70'	0.754	0.415	'CHPF'	0.65	1099936	509957	1395
'CDK5R2'	0.666	0.573	'SLC25A29'	0.653	0.563							'SRSF9'	0.602	0.443	'JUP'	0.754	0.566	'GNB2'	0.65	3604612	2338009	4999
'C1orf122'	0.664	0.567	'SPPL3'	0.65	0.422							'CDK18'	0.601	0.371	'GPC1'	0.754	0.32	'PSD'	0.65	1844845	897932	3160
'FIS1'	0.661	0.57	'LDOC1'	0.65	0.572							'DYNLL1'	-0.605	0.045	'ITM2C'	0.754	0.368	'AKT1S1'	0.65	1261857	553477	5004
'FAU'	0.66	0.587	'CMTM8'	0.649	0.415							'RBP4'	-0.614	-0.291	'GAA'	0.752	0.658	'NENF'	0.65	1005583	481765	5283
'CLDN7'	0.655	0.594	'TMEM129'	0.648	0.553							'ARF4'	-0.618	-0.275	'RPS12'	0.751	0.574	'RPS2'	0.65	1803211	904962	6395
'PTPRN'	0.654	0.515	'BOD1'	0.647	0.423							'ENPP2'	-0.628	-0.321	'TRIP6'	0.751	0.129	'GLTSCR2'	0.65	1813506	1050592	4323
'CARM1'	0.653	0.574	'RGS11'	0.646	0.428							'PSMD10'	-0.633	-0.119	'RPL11'	0.746	0.657	'MMP24-AS1'	0.65	865051	283187	5765
'MGAT4B'	0.653	0.581	'POLR2A'	0.643	0.518							'ATP5O'	-0.65	-0.137	'QSOX1'	0.746	0.412	'KDELR1'	0.65	2548386	1126110	6312
'RPS3'	0.653	0.552	'ACTN4'	0.641	0.573							'TM4SF4'	-0.741	-0.188	'CHCHD10'	0.745	0.631	'PCSK1N'	0.64	1199770	471502	2149
'PTMS'	0.653	0.587	'B3GNT9'	0.639	0.536										'TRABD'	0.744	0.476	'BRI3'	0.64	982719	442905	5568
'RPS20'	0.65	0.569	'DNAJB2'	0.639	0.44										'NDUFA11'	0.744	0.672	'PRKCSH'	0.64	1427504	543395	5387
'SLC29A4'	0.642	0.521	'SREBF1'	0.638	0.505										'G6PD'	0.743	0.569	'EPN1'	0.64	1549011	882741	4006
'HSPB1'	0.639	0.461	'RBCK1'	0.636	0.482										'ARSA'	0.742	0.63	'RPL7A'	0.64	649646	11529	1088
'GUK1'	0.638	0.543	'TMEM132A'	0.636	0.37										'TMEM259'	0.74	0.617	'DPP7'	0.64	2127793	963191	4193
'ANXA6'	0.632	0.568	'MAFA'	0.635	0.118										'HLA-C'	0.74	0.411	'RPS11'	0.64	1757507	993988	2648
'RPS24'	0.632	0.524	'TMEM59L'	0.633	0.465										'SDF4'	0.739	0.613	'ZNF580'	0.64	1028499	341486	4238
'TCEB2'	0.63	0.568	'LRP10'	0.631	0.567										'PAK4'	0.739	0.618	'AP2A1'	0.64	2550579	1263621	5056
"NME2,uid_22041'"	0.63	0.555	'NFIC'	0.63	0.504										'ZNF580'	0.738	0.639	'RPS15A'	0.64	257832	114006	5386
'MAFB'	0.628	0.448	'CORO1B'	0.629	0.545										'CDIPT'	0.738	0.469	'R3HDM4'	0.63	1547719	774798	5092
'SEZ6L2'	0.628	0.518	'OLFM2'	0.625	0.306										'MMP24-AS1'	0.737	0.646	'EEF1A2'	0.63	2506928	1006208	3562
'RPL24'	0.623	0.521	'RPS27'	0.623	0.5										'EPS8L2'	0.737	0.469	'CHCHD10'	0.63	1178469	638173	3513
'SRRM2'	0.622	0.537	'PCBP1'	0.623	0.487										'CLDN7'	0.737	0.594	'CST3'	0.63	2962742	2026457	4974
'LTBP3'	0.621	0.537	'CXXC5'	0.623	0.434										'GRINA'	0.734	0.626	'ARSA'	0.63	2786095	1352657	3775
'APLP1'	0.62	0.428	'THAP11'	0.622	0.416										'TSR3'	0.733	0.588	'MIB2'	0.63	1833436	949617	4884
'FASN'	0.619	0.548	'FLYWCH1'	0.621	0.399										'ZSCAN18'	0.733	0.568	'PODXL2'	0.63	2682974	1335792	3088
'RPS7'	0.617	0.536	'PHF1'	0.619	0.445										'MRPL23'	0.733	0.623	'MZT2B'	0.63	2015943	1366213	4778
'SEPT9'	0.615	0.504	'STMN3'	0.618	0.44										'PTGES2'	0.732	0.54	'TPGS1'	0.63	1729127	917282	6712
'COMTD1'	0.614	0.536	'MLXIPL'	0.617	0.412										'SMARCD3'	0.731	0.434	'C9orf16'	0.63	1910421	994168	4859
'RABAC1'	0.61	0.551	'ACAP3'	0.616	0.559										'TNIP1'	0.73	0.481	'GRINA'	0.63	1624115	904266	5928
'VWA7'	0.608	0.522	'DYRK1B'	0.615	0.483										'RPS15A'	0.728	0.637	'NCOR2'	0.62	467862	194824	3564
'DRAP1'	0.608	0.553	'DVL3'	0.615	0.535										'TMEM54'	0.727	0.587	'PLEC'	0.62	1708062	813966	4688
'SLC5A1'	0.604	0.449	'SYN1'	0.614	0.501										'AGRN'	0.727	0.305	'MRPL23'	0.62	1758004	962568	4665
'RPL29'	0.602	0.506	'JUND'	0.613	0.46										'FAM134C'	0.726	0.413	'H1FX'	0.62	2473384	1001570	3873
'VSTM2L'	0.601	0.467	'EMC10'	0.613	0.461										'NENF'	0.725	0.649	'MAP1LC3A'	0.62	759606	392150	4325
'TM4SF4'	-0.604	-0.188	'PIM3'	0.612	0.502										'PTOV1'	0.725	0.597	'PAK4'	0.62	208278	5550	1170
'B2M'	-0.626	-0.399	'PRKACA'	0.612	0.487										'TLN1'	0.724	0.563	'MZT2A'	0.62	1127436	480113	2739
'SCG5'	-0.677	-0.346	'FAM58A'	0.611	0.46										'WFDC2'	0.723	0.209	'RPS29'	0.62	2968082	1701563	5959
			'PELI3'	0.609	0.418										'RPL7A'	0.721	0.64	'ISOC2'	0.62	644984	367977	5718
			'ARFGAP1'	0.608	0.456										'RPS20'	0.721	0.569	'TMEM259'	0.62	1494910	641862	3083
			'CLTB'	0.608	0.551										'PLEC'	0.72	0.624	'CD151'	0.62	2717792	1651308	4273
			'APP'	0.607	0.516										'MZT2A'	0.719	0.618	'NDUFA3'	0.61	1796167	832806	4039
			'TESK1'	0.607	0.523										'DIRC2'	0.718	0.245	'NPDC1'	0.61	1510397	663354	5452
			'ECE1'	0.605	0.467										'ATPAF1'	0.717	0.37	'SDF4'	0.61	1651362	928893	3956
			'PHLDB3'	0.605	0.538										'AP2A1'	0.716	0.638	'TMED9'	0.61	1487196	711370	6159
			'LOC100130093'	0.605	0.386										'HDGFRP2'	0.716	0.559	'ZFAND3'	0.61	1323564	698425	2365
			'NAT14'	0.603	0.545										'VWA1'	0.715	0.581	'SORBS3'	0.61	1221443	450980	4687
			'BAIAP2'	0.603	0.497										'CLUH'	0.714	0.351	'CLSTN3'	0.61	2278177	1267919	3866
			'ABCA3'	0.602	0.477										'PNPLA6'	0.713	0.526	'CSNK1D'	0.61	2772301	1837464	4750
			'FAM89B'	0.602	0.461										'DNTTIP1'	0.713	0.334	'STUB1'	0.61	939489	484791	4640
			'PLEKHH3'	0.602	0.481										'ANP32A'	0.713	0.457	'EDF1'	0.61	638450	318709	5130
			'MNT'	0.6	0.429										'TSPAN17'	0.713	0.498	'RPL35A'	0.61	1720320	739391	4164
			'G6PC2'	-0.6	-0.146										'CSNK1G2'	0.713	0.458	'PDAP1'	0.60	1270864	590880	6002
			'PFKFB2'	-0.6	0.077										'SLC38A10'	0.712	0.546	'FAM173A'	0.60	2020408	916651	5780
			'PAIP2'	-0.6	-0.318										'NCOR2'	0.712	0.625	'PTOV1'	0.60	972648	576595	4865
			'YWHAE'	-0.601	-0.398										'UBA52'	0.712	0.593	'LOC284889'	0.60	1660059	948562	7730
			'HSP90AB1'	-0.601	-0.417										'SLC35C1'	0.709	0.385	'C19orf43'	0.60	1748483	673378	4743
			'SCG5'	-0.606	-0.346										'CST3'	0.709	0.63	'CNIH2'	0.60	1951095	631511	3527
			'PFN2'	-0.606	-0.115										'WBP2'	0.708	0.55	'CLDN7'	0.59	1568518	651370	6798
			'ASAH1'	-0.607	-0.389										'RPS19'	0.708	0.521	'PLD3'	0.59	517072	313840	3210
			'COX7A2'	-0.608	-0.128										'C1QTNF5+MFRP'	0.707	0.145	'UBA52'	0.59	1520585	682601	5539
			'C14orf2'	-0.627	-0.26										'TRAPPC5'	0.707	0.496	'MAPRE3'	0.59	1506137	749938	2171
			'DDX5'	-0.63	-0.556										'PVRL2'	0.707	0.492	'CBX6'	0.59	1741671	1210883	3525
			'RIN2'	-0.63	-0.364										'STARD10'	0.706	0.471	'DNAJC4'	0.59	1788374	858806	3878
			'PPY'	-0.633	-0.56										'ANAPC2'	0.706	0.476	'UBE2S'	0.59	2268214	1359059	4394
