geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
																		'VPRBP'	0.40	3672724	1410153	8811
																		'PDK2'	0.40	121113	44286	7030
																		'FAM98C'	0.40	343314	131883	8002
																		'GFER'	0.40	1247654	524976	7096
																		'LINC01278'	0.40	281504	96390	6966
																		'LRRC14'	0.40	317975	114717	7730
																		'ZER1'	0.40	1794464	761506	8626
																		'MCL1'	0.40	1693042	619881	8426
																		'RNF115'	0.40	773439	274497	8047
																		'NFKB2'	0.40	548248	201017	8891
																		'PITPNM1'	0.40	477156	149782	8213
																		'IRAK1'	0.40	1613868	718192	8044
																		'BSCL2.uid_15599'	0.40	2310121	670293	7204
																		'ABCA7'	0.40	371805	183892	7861
																		'RIC8A'	0.40	186282	91208	8109
																		'HEIH'	0.40	2487560	817180	8708
																		'C19orf25'	0.40	800478	272049	7339
																		'CLASRP'	0.40	1062991	448534	9778
																		'NT5C3B'	0.40	1379033	327483	2166
																		'HIST1H1E'	0.40	941895	481483	8189
																		'HNRNPAB'	0.40	235875	73653	7397
																		'PAK6'	0.40	1030231	380671	6270
																		'SPTBN4'	0.40	734733	238164	7709
																		'HAGHL'	0.40	1111601	487864	8092
																		'ATF6B'	0.40	73830	24446	5006
																		'TBC1D20'	0.40	205709	80602	6862
																		'SIVA1'	0.40	887931	307820	7061
																		'MAPK8IP2'	0.40	110833	29630	5549
																		'SLC12A5'	0.40	601076	257494	7975
																		'ATF4'	0.40	659675	275095	6837
																		'PTK7'	0.40	866069	389872	7041
																		'UBTF'	0.40	1416601	618853	8291
																		'TMEM179'	0.40	131404	39163	6023
																		'NAV2'	0.40	2104071	751993	7229
																		'CREBL2'	0.40	3397012	1338141	7843
																		'PQLC2'	0.40	420444	129247	6982
																		'MAPKAPK2'	0.40	740564	257203	6636
																		'MGRN1'	0.40	1055165	432920	7643
																		'CCNI'	0.39	938905	295982	7230
																		'SCN1B'	0.39	249973	83133	6223
																		'PPFIA3'	0.39	1316482	315597	7245
																		'WIPI2'	0.39	334163	122518	7354
																		'PPP6R2'	0.39	271531	77516	5597
																		'RPL19'	0.39	890837	280038	8426
																		'CORO7'	0.39	155277	37225	5054
																		'POM121'	0.39	988245	271814	6983
																		'HGS'	0.39	1971344	516108	7950
																		'MUM1'	0.39	121408	41595	5304
																		'CRLS1'	0.39	792852	237745	7104
																		'COTL1'	0.39	856906	290350	8561
																		'MESP1'	0.39	219831	52872	5347
																		'IGHMBP2'	0.39	193057	54208	5557
																		'CYB561'	0.39	2529003	1061825	10427
																		'MICAL1'	0.39	117970	41246	5383
																		'BRF2'	0.39	1669450	624786	8915
																		'NDUFS7'	0.39	1608180	530744	8767
																		'ZNF496'	0.39	529392	170169	7476
																		'BCL3'	0.39	309498	82654	6822
																		'FAM219B'	0.39	210829	71606	7369
																		'C1orf85'	0.39	507996	185103	8589
																		'CCDC57'	0.39	695083	169527	6775
																		'ABTB1'	0.39	142910	48752	5948
																		'XPO7'	0.39	1390182	533473	6567
																		'SDR39U1'	0.39	255008	71355	6361
																		'FOS'	0.39	473141	145043	7489
																		'RGL2'	0.39	96701	38180	6471
																		'C9orf37'	0.39	130605	46173	5737
																		'TMEM151A'	0.39	265648	81175	6700
																		'RAB17'	0.39	657211	206536	7420
																		'RTKN'	0.39	599762	227433	7195
																		'MYL6B'	0.39	927583	286509	8158
																		'FGFR1'	0.39	665016	192896	6687
																		'USP5'	0.39	1346270	386993	7529
																		'ZNF205'	0.39	308548	74289	5952
																		'CACNA2D2'	0.39	1270912	448556	8160
																		'DALRD3'	0.39	300298	85260	7588
																		'MAN2B2'	0.39	892805	287821	7570
																		'CRIP2'	0.39	842724	316317	7349
																		'CDC42SE1'	0.39	1138655	370104	8549
																		'CDK12'	0.39	229604	60498	5484
																		'MVK'	0.39	395724	166568	6573
																		'LZTR1'	0.39	738676	209253	6815
																		'LYNX1'	0.39	287554	101334	7702
																		'KIAA2013'	0.39	323746	96145	6672
																		'MPDU1'	0.39	154934	51575	5843
																		'SCARB1'	0.39	556348	161849	7008
																		'FBXL18'	0.39	342273	142081	7172
																		'FFAR1'	0.39	935099	257945	7851
																		'CCDC92'	0.39	486073	113476	6645
																		'AAED1'	0.39	646591	164910	6654
																		'CA11'	0.39	215329	46681	5177
																		'NDUFS8'	0.39	885649	304949	6122
																		'C19orf81'	0.39	1187274	339537	7536
																		'ADAMTSL2'	0.39	569293	224452	7313
																		'LRRC29'	0.39	2279369	633904	7653
																		'ZNF593'	0.39	341976	117835	7123
																		'MRPL52'	0.39	1268995	415441	8864
																		'DCAF11'	0.39	1019466	320440	7355
																		'RPS14'	0.39	339197	136693	8472
																		'FXYD6'	0.39	887207	245620	6936
																		'DAK'	0.39	166301	72978	6886
																		'CFL1'	0.39	63349	20376	4057
																		'RABGGTA'	0.39	1158950	394169	7560
																		'RAB35'	0.39	388190	108342	6560
																		'PPP1R13L'	0.39	639760	246509	8274
																		'GOLGA7B'	0.39	198377	52903	5798
																		'C11orf24'	0.39	58904	16768	4178
																		'TRAF2'	0.39	1053428	308471	6761
																		'TRAPPC9'	0.39	279965	72617	6257
																		'DLG4'	0.39	1078558	477162	9962
																		'RCAN3'	0.39	546187	166576	8518
																		'DOLPP1'	0.39	1071917	406318	7815
																		'TMEM256'	0.39	308398	124783	7702
																		'MVB12A'	0.39	995868	400768	8725
																		'KDM6B'	0.39	421800	114221	6476
																		'VPS18'	0.39	956353	247480	6687
																		'SPAG9'	0.39	2981537	874621	8233
																		'PITPNA-AS1'	0.39	1868220	567835	7498
																		'PTPN9'	0.39	690492	194418	6972
																		'ZDHHC14'	0.39	724536	223342	7529
																		'YDJC'	0.39	276030	96888	6298
																		'SMARCB1'	0.39	1675219	467399	7207
																		'NR2F6'	0.39	178893	61981	6747
																		'ZC3H3'	0.39	260432	85164	5402
																		'ZMIZ2'	0.39	1430042	584556	6967
																		'SPATC1L'	0.39	1168086	312010	7458
																		'AGPAT2'	0.39	597190	177253	7171
																		'CHRNB2'	0.39	1480495	503504	7666
																		'POLR1D'	0.39	882073	262224	7052
																		'GNA11'	0.39	147716	42349	4986
																		'LDOC1L'	0.39	211513	49023	5926
																		'MED9'	0.39	862290	255376	6737
																		'LOXL1'	0.39	87862	24006	4499
																		'MRPS34'	0.39	787837	225532	7793
																		'ARAF'	0.39	1047543	420250	6273
																		'EIF3G'	0.39	209861	95740	5649
																		'RARA'	0.39	1569866	576773	6906
																		'MOV10'	0.39	943102	317723	9102
																		'CUX1'	0.39	1394079	379804	7459
																		'LTBR'	0.39	689277	220648	6916
																		'LOC100130093'	0.39	574009	230445	6499
																		'MIF4GD'	0.39	545664	180824	7083
																		'CPSF7'	0.39	158591	37719	5331
																		'SLC35F3'	0.39	692017	182796	6160
																		'C9orf89'	0.39	1607622	495029	7696
																		'ADCK2'	0.39	708190	239924	6795
																		'CCDC151'	0.39	590491	223508	7334
																		'TRAPPC10'	0.39	946029	381099	8673
																		'PTPRA'	0.38	804676	198175	6840
																		'HCFC1'	0.38	194918	53514	5918
																		'RANBP3'	0.38	182717	59516	5771
																		'LY6E'	0.38	174946	55275	6079
																		'SLC35C1'	0.38	578000	181275	6895
																		'LOC100996255'	0.38	1172203	382220	7380
																		'NDEL1'	0.38	410716	147018	7249
																		'NDNL2'	0.38	917469	354486	8880
																		'CLEC11A'	0.38	52950	15287	3889
																		'RRP36'	0.38	266378	74524	5776
																		'ZC3H18'	0.38	1002870	369346	7287
																		'MAU2'	0.38	1529975	619987	7639
																		'TMED3'	0.38	489222	109772	5928
																		'STOML1'	0.38	1011234	420102	8647
																		'MGAT1'	0.38	89892	28528	4469
																		'HSPBP1'	0.38	496374	117741	6660
																		'MANEAL'	0.38	101846	26241	4710
																		'LUC7L2.uid_9394'	0.38	388438	103241	6345
																		'PYCR1'	0.38	372367	127010	6340
																		'RAP1GAP2'	0.38	135578	31567	5000
																		'EEF1D'	0.38	1546506	542786	6933
																		'CKB'	0.38	921224	314485	6705
																		'DDR1'	0.38	1480253	527904	7416
																		'PRKD2'	0.38	86323	22583	4557
																		'TBC1D22A'	0.38	864492	267774	7524
																		'SGSH'	0.38	519519	170109	7046
																		'BAG1'	0.38	628921	224448	8924
																		'CDK10'	0.38	658421	209927	8636
																		'CSTF2T'	0.38	750085	275057	8523
																		'LLGL2'	0.38	726589	236066	6551
																		'CRTC2'	0.38	838063	252197	6981
																		'CPSF1'	0.38	318378	79379	6254
																		'ZDHHC12'	0.38	734131	329680	6178
																		'HLA-DQB2'	0.38	446280	134772	6503
																		'GLRX5'	0.38	670003	183132	6866
																		'RORC'	0.38	60351	18906	3999
																		'MRPL49'	0.38	887206	305157	8378
																		'ESRRA'	0.38	689286	213300	6822
																		'FAM69B'	0.38	466842	116600	7279
																		'CCND3'	0.38	110844	31799	4804
																		'CTIF'	0.38	241963	77626	6033
																		'SSNA1'	0.38	1028027	294346	7099
																		'PPP1R3F'	0.38	420506	148828	6887
																		'PAK3'	0.38	361773	127082	6806
																		'GMPPB'	0.38	85729	33929	5384
																		'KDM3B'	0.38	275505	98904	6105
																		'EIF2AK1'	0.38	191069	69062	5915
																		'DOK4'	0.38	470259	156232	6955
																		'EFHD2'	0.38	822449	252119	6675
																		'CEP170B'	0.38	1584973	671109	9002
																		'TMEM120A'	0.38	78430	13599	3171
																		'CADM4'	0.38	823289	221649	7029
																		'HLA-G'	0.38	348051	76741	5877
																		'FPGS'	0.38	1275182	466981	9067
																		'HPCAL1'	0.38	143941	45660	6052
																		'MOB3A'	0.38	900858	304635	7179
																		'ANGEL1'	0.38	1351502	475527	7796
																		'RNPEP'	0.38	81160	29477	4849
																		'AMDHD2'	0.38	412866	156144	9235
																		'PDCD7'	0.38	1164624	479418	6253
																		'TMEM104'	0.38	870728	260690	6982
																		'PIP5K1A'	0.38	347267	110931	6718
																		'MIR6850'	0.38	916671	332257	7844
																		'PNMAL1'	0.38	608126	155395	7070
																		'HYAL2'	0.38	295224	101547	7202
																		'TMEM150A'	0.38	174075	39535	5220
																		'TRMT1'	0.38	1723026	423924	7324
																		'DDA1'	0.38	682071	186645	7444
																		'RAPGEF1'	0.38	845399	199780	6219
																		'ELK1'	0.38	1057661	364512	7806
																		'PRPF6'	0.38	649983	155605	6761
																		'LYRM9'	0.38	881998	277132	6603
																		'HMGXB3'	0.38	1466777	420771	6976
																		'C16orf45'	0.38	480594	143161	6368
																		'GABARAPL1'	0.38	108456	32564	5098
																		'NUBP2'	0.38	589466	212396	8361
																		'POLR3D'	0.38	686816	203961	7326
																		'GSK3B'	0.38	356566	111941	6739
																		'PIAS3'	0.38	987593	386413	8427
																		'GUCD1'	0.38	398730	120406	6587
																		'DDAH2'	0.38	815434	247303	7473
																		'ZNHIT2'	0.38	664533	292960	7902
																		'CTSF'	0.38	1116680	254168	6718
																		'GLI4'	0.38	53794	15381	3878
																		'C6orf47'	0.38	54283	17041	4514
																		'DHPS'	0.38	388395	148903	8341
																		'NABP2'	0.38	55748	20198	3637
																		'ZNF581'	0.38	560890	266933	9843
																		'TP53INP2'	0.38	81277	29972	4610
																		'SMG5'	0.38	70318	32473	6009
																		'FAM53C'	0.38	1804715	747263	7798
																		'PIAS4'	0.38	76731	28051	5598
																		'TAZ'	0.38	100011	41811	4622
																		'ANKRD13D'	0.38	214173	78422	6653
																		'AGPAT3'	0.38	2358437	663112	6866
																		'SPTY2D1'	0.38	111376	53368	5914
																		'PLAGL2'	0.38	225391	86959	6246
																		'FBRS'	0.38	107121	31177	5773
																		'C11orf31'	0.38	145542	60005	6284
																		'RDH14'	0.38	193151	52073	6154
																		'RAP1GAP'	0.38	65516	23335	4907
																		'AP5Z1'	0.38	468445	189968	7933
																		'TUBGCP2'	0.38	479830	154296	8283
																		'SFSWAP'	0.38	723483	364318	8709
																		'MAGEF1'	0.38	181911	59514	7121
																		'FEV'	0.38	392458	100895	5499
																		'PRADC1'	0.38	483728	158866	7137
																		'ZFP36'	0.38	1583182	399480	5828
																		'TP53I11'	0.38	111377	33678	5285
																		'THAP4'	0.38	104122	30841	5247
																		'SLC35A4'	0.38	136526	53761	5337
																		'LINC00847'	0.38	1361086	436915	7643
																		'FAM98A'	0.38	718904	214959	7288
																		'REEP1'	0.38	621597	166308	6545
																		'FAM96B'	0.38	65960	20985	4366
																		'COBL'	0.38	3458008	1363233	7590
																		'PLA2G6'	0.38	92121	35161	6151
																		'SSTR3'	0.38	1322550	469493	7441
																		'ECHDC3'	0.38	611766	251622	7350
																		'RHBDD3'	0.38	164870	67829	4775
																		'CELSR2'	0.38	2369230	830872	8816
																		'C5orf55'	0.38	173933	49981	5936
																		'RING1'	0.38	174552	71762	7287
																		'CCDC22'	0.38	151653	52064	5934
																		'LASP1'	0.38	234056	88294	6811
																		'ZFAND2B'	0.37	236551	72035	6817
																		'CYB561D1'	0.37	427513	135598	7763
																		'DMWD'	0.37	758398	211709	7353
																		'LRSAM1'	0.37	128164	53560	6247
																		'BTBD11'	0.37	347272	125313	6557
																		'DBP'	0.37	1664562	506985	6809
																		'NOP14-AS1'	0.37	159926	44357	5564
																		'A1BG'	0.37	1607929	469024	7004
																		'SHKBP1'	0.37	375618	128840	7024
																		'TCF25'	0.37	2351609	714866	7020
																		'CDC42BPB'	0.37	851735	337997	8350
																		'KLHL36'	0.37	1575821	554627	6985
																		'HLA-B'	0.37	136706	38572	5215
																		'VPS4A'	0.37	103508	42261	5921
																		'NUDCD3'	0.37	114378	35397	4872
																		'ADAMTS2'	0.37	388024	105482	5974
																		'MBD3'	0.37	2291246	817188	7663
																		'NDUFA7'	0.37	891991	182580	6442
																		'SIRT6'	0.37	569397	220994	7279
																		'RAB11FIP5'	0.37	343586	150672	7321
																		'FBLN7'	0.37	1058941	392637	6482
																		'RRBP1'	0.37	196721	71634	6392
																		'TOR1B'	0.37	508146	235174	7537
																		'TXNDC11'	0.37	94202	30949	5608
																		'HTT'	0.37	347263	148600	8181
																		'KIAA0141'	0.37	2126767	637297	8209
																		'TSEN54'	0.37	2239774	554021	7445
																		'SPEG'	0.37	117581	39116	5789
																		'ACADVL'	0.37	237704	84956	6400
																		'ZNRD1'	0.37	468046	152738	9100
																		'ENTPD6'	0.37	438652	127597	7115
																		'MTURN'	0.37	99563	22758	4313
																		'DMKN'	0.37	714242	214209	6439
																		'SURF1'	0.37	86986	24160	4593
																		'ABCF1'	0.37	814699	341840	8928
																		'B3GALT6'	0.37	145555	44763	5171
																		'AGFG2'	0.37	181396	58352	6437
																		'GTF2F1'	0.37	69427	21885	5359
																		'ELAC2'	0.37	791224	190746	6508
																		'C7orf43'	0.37	320923	151048	7963
																		'PPIF'	0.37	1315449	437829	7372
																		'FRRS1L'	0.37	97337	36730	6000
																		'LLGL1'	0.37	543172	177441	7382
																		'PPP1R1A'	0.37	1570025	747237	9481
																		'SAT2'	0.37	79727	25162	4641
																		'NOXA1'	0.37	432504	165385	7376
																		'NR3C1'	0.37	1850357	548277	8341
																		'C12orf10'	0.37	612989	279833	7017
																		'VEGFB'	0.37	481951	174289	5656
																		'SYNE4'	0.37	168058	65751	6915
																		'CDK18'	0.37	127132	43501	6101
																		'GATAD2A'	0.37	2888283	1196241	8641
																		'TRIM9'	0.37	607765	229339	7233
																		'CHCHD5'	0.37	403737	175978	6520
																		'SHC1'	0.37	1427701	425431	7658
																		'BACE2'	0.37	785156	222368	8013
																		'GSDMD'	0.37	128914	41780	4614
																		'STIM1'	0.37	831582	58219	1525
																		'TMEM132A'	0.37	648619	331404	2880
																		'NECAB3'	0.37	1514761	595421	2252
																		'UBE2J2'	0.37	999494	453539	2906
																		'PHRF1'	0.37	863090	342278	2616
																		'SYNGR1'	0.37	631553	192576	3489
																		'ATPAF1'	0.37	1155709	455709	3373
																		'MAPK3'	0.37	1078022	578144	3139
																		'ECSIT'	0.37	113889	31647	2595
																		'THAP8'	0.37	526412	241370	3551
																		'TP73-AS1'	0.37	959682	419120	2500
																		'HEXDC'	0.37	618227	268174	3534
																		'TJAP1'	0.37	855007	281359	3352
																		'RAB24'	0.37	472923	185862	3036
																		'TWF2'	0.37	884751	418206	3490
																		'RNF220'	0.37	495216	220989	3656
																		'STXBP2'	0.37	1061792	421005	2555
																		'CAMSAP3'	0.37	641590	399230	3490
																		'CARHSP1'	0.37	910781	535754	1683
																		'SHROOM1'	0.37	629585	297643	4649
																		'MAGOH'	0.37	992553	536989	3263
																		'JADE2'	0.37	800084	379110	6390
																		'FADS3'	0.37	1019574	407345	2626
																		'APEH'	0.37	1179698	542327	3922
																		'BRD2'	0.37	682426	397511	2250
																		'TPT1'	0.37	382041	194451	4137
																		'ITM2C'	0.37	548859	283875	2659
																		'SPATA2'	0.37	662705	323161	4109
																		'CCAR2'	0.37	1641090	360145	3180
																		'TMEM214'	0.37	690777	263808	3255
																		'CDK5'	0.37	1154148	626218	3492
																		'KCMF1'	0.37	688960	394516	4441
																		'PML'	0.37	1386495	666701	4324
																		'EIF4G1'	0.37	594717	317460	1691
																		'ZNF362'	0.37	859583	387047	3305
																		'CEP104'	0.37	692802	239441	3072
																		'TPD52L2'	0.37	1268520	619046	2074
																		'SMPD2'	0.37	386218	145323	3644
																		'CCDC130'	0.37	1200379	509161	1964
																		'KIAA1804'	0.37	993001	368411	3536
																		'PTPLB'	0.37	725804	281201	3663
																		'TCF20'	0.37	352802	149877	2872
																		'HCN3'	0.37	839622	500726	2762
																		'PREX1'	0.37	831998	316180	2670
																		'AGPAT1'	0.37	1132380	515756	1892
																		'TRMT2A'	0.37	1174621	441976	4294
																		'GNB5'	0.37	831475	347050	2785
																		'SESN2'	0.37	753163	290255	2840
																		'NFE2L1'	0.37	880065	380242	4059
																		'MKNK2'	0.37	591574	280444	2470
																		'PEX14'	0.37	974994	449800	3706
																		'UPF1'	0.37	792547	323595	2636
																		'CENPT'	0.37	925649	468507	4111
																		'DNPEP'	0.37	810271	394263	3503
																		'MROH1'	0.37	865751	388931	3327
																		'ATF5'	0.37	396095	178090	3981
																		'C11orf84'	0.37	413293	151188	3557
																		'DHX38'	0.37	902885	440948	3165
																		'GNAS'	0.37	1170493	474888	2999
																		'CASC3'	0.37	1123940	521774	3411
																		'EDC3'	0.37	985296	542464	3646
																		'GNAO1'	0.37	943400	468851	3588
																		'NUDT14'	0.37	692195	385954	3472
																		'FAM207A'	0.37	1237180	592845	2962
																		'ZDHHC16'	0.37	979903	423201	2239
																		'TRIM27'	0.37	541151	185984	1827
																		'IPO13'	0.37	429229	224395	2090
																		'QARS'	0.37	831667	376337	3476
																		'ERCC2'	0.37	853945	486342	3491
																		'ANKRD54'	0.37	703073	420023	3489
																		'INTS5'	0.36	787641	308022	2393
																		'RNF157-AS1'	0.36	517883	284173	3432
																		'SZT2'	0.36	396209	172685	3111
																		'B4GALT3'	0.36	451409	172764	3076
																		'SSH2'	0.36	796720	490041	3855
																		'CERCAM'	0.36	839343	523200	3530
																		'RRP1'	0.36	907568	343884	3438
																		'SHC2'	0.36	730099	398849	4453
																		'SLC2A11'	0.36	491928	186252	2639
																		'TMEM163'	0.36	406006	177469	2906
																		'MECP2'	0.36	592594	306193	2384
																		'SDF2L1'	0.36	547184	271500	2326
																		'CTU1'	0.36	892274	518224	3259
																		'GTF2IRD1'	0.36	417081	245936	3519
																		'JMJD4'	0.36	583688	261205	3440
																		'RXRB'	0.36	977609	545015	3448
																		'GRIK5'	0.36	1068986	580171	3825
																		'RNF121'	0.36	713982	366885	3388
																		'C15orf39'	0.36	151619	57114	3047
																		'SNED1'	0.36	890445	550781	3005
																		'NUMBL'	0.36	740774	399832	3543
																		'ABL1'	0.36	794359	456569	2888
																		'GPI'	0.36	542483	227241	1746
																		'MIR663A'	0.36	436081	173922	3678
																		'NCAPH2'	0.36	1200790	681136	3370
																		'SPTB'	0.36	269673	100117	2387
																		'NOL6'	0.36	1121856	461989	3111
																		'INSM1'	0.36	631204	349882	3316
																		'CPTP'	0.36	731227	197853	2993
																		'SIRT3'	0.36	1054375	574549	4195
																		'TRIO'	0.36	876852	507813	3195
																		'EXTL3'	0.36	323329	169241	3371
																		'ALDOA'	0.36	1022832	502778	3372
																		'LOC113230'	0.36	415617	187920	3633
																		'LOC646719'	0.36	794745	379562	2885
																		'SERF2'	0.36	742612	329816	2821
																		'RNU4ATAC'	0.36	500511	249658	5997
																		'NARFL'	0.36	1422823	790505	3428
																		'TENM4'	0.36	643088	339036	2901
																		'SAP30'	0.36	1153421	633015	2433
																		'FXR2'	0.36	728348	305623	2698
																		'PEX6'	0.36	688705	317199	3412
																		'SFT2D3'	0.36	922904	446124	3496
																		'SMPD4'	0.36	1432623	747192	3739
																		'OGDHL'	0.36	860367	422248	4584
																		'C19orf12'	0.36	977538	399406	3118
																		'FLII'	0.36	655528	248535	4188
																		'SNX21'	0.36	1380327	643290	3578
																		'TRIM28'	0.36	1111824	491110	3847
																		'E2F4'	0.36	1086205	510126	2233
																		'C2CD2L'	0.36	728499	284922	3344
																		'PCED1A'	0.36	886231	292958	3335
																		'ST3GAL3'	0.36	935243	498320	3265
																		'TRIM8'	0.36	1043065	477540	4836
																		'ANO10'	0.36	1314131	507220	2600
																		'TNRC18'	0.36	810630	366872	4477
																		'UBL4A'	0.36	835548	336514	2852
																		'STXBP6'	0.36	460800	122875	3186
																		'PPFIA1'	0.36	858982	392801	4187
																		'RASGEF1B'	0.36	1027363	428999	3894
																		'EIF5A'	0.36	773848	434635	3531
																		'DVL2'	0.36	869280	408294	3762
																		'EMC8'	0.36	753169	367352	3507
																		'MEGF8'	0.36	661557	390215	2927
																		'DEDD2'	0.36	734068	381752	3394
																		'ARMC6'	0.36	598151	8384	1034
																		'ATAD3B'	0.36	309225	143562	3064
																		'IGFBP2'	0.36	949812	533122	3307
																		'FOXA2'	0.36	742228	285611	3521
																		'MRM1'	0.36	387332	182261	1464
																		'ING4'	0.36	891826	362369	3032
																		'CCDC183'	0.36	1098534	507746	2256
																		'FKBP1B'	0.36	661788	384396	2462
																		'USF1'	0.36	730949	344599	4623
																		'PSEN2'	0.36	416288	236957	2033
																		'RPP25'	0.36	742023	324585	2984
																		'LAGE3'	0.36	827801	380897	3847
																		'MYD88'	0.36	785296	451962	3536
																		'B9D1'	0.36	553587	268890	2968
																		'TMEM205'	0.36	1337936	752166	3349
																		'RABEP2'	0.36	956377	511706	3479
																		'WAPAL'	0.36	1320016	676766	3289
																		'EBPL'	0.36	787660	373790	3385
																		'CSRNP1'	0.36	1055853	563382	3463
																		'MGMT'	0.36	726128	351557	7091
																		'PPP2R1A'	0.36	600364	324280	2589
																		'OXLD1'	0.36	1398988	600587	2443
																		'FRMD8'	0.36	867698	428928	3469
																		'TRMU'	0.36	714680	401755	2755
																		'BBS1'	0.36	1293790	859212	3677
																		'XAB2'	0.36	868948	360026	3452
																		'MAPK8'	0.36	634248	339360	3707
																		'ZNF865'	0.36	684859	298127	5190
																		'TRAPPC1'	0.36	561567	231433	3662
																		'PP7080'	0.36	671173	309356	3650
																		'MCF2L'	0.36	456551	203708	3458
																		'TBC1D25'	0.36	951878	472956	3116
																		'CDC37'	0.36	791470	418121	4762
																		'IFFO1'	0.36	372930	180731	2717
																		'EID2'	0.36	1009349	538003	3353
																		'NLRX1'	0.36	1008338	543342	2823
																		'APBB1'	0.36	905795	495676	3982
																		'WDR46'	0.36	704114	343488	3089
																		'MUC13'	0.36	698781	313689	3688
																		'GALNT2'	0.36	612638	345824	3088
																		'TGFBRAP1'	0.36	1000291	457242	3829
																		'LEPREL4'	0.36	932470	354132	3966
																		'PLA2G15'	0.36	936855	349125	2451
																		'GLI3'	0.36	913197	422343	2453
																		'SREBF2'	0.36	754986	324949	3371
																		'WDR82'	0.36	1007832	435572	3245
																		'EXD3'	0.36	872067	306294	3311
																		'PPP1R13B'	0.36	706128	320912	3620
																		'RBM10'	0.36	625515	264110	5260
																		'PKD1'	0.36	423901	217597	1523
																		'PPM1G'	0.36	932896	540570	2036
																		'NUMA1'	0.36	1239882	624017	3673
																		'TAF1C'	0.36	440093	26913	1661
																		'PRKCZ'	0.36	772350	305079	3194
																		'TMEM261'	0.36	999188	548618	4153
																		'PLXNA3'	0.36	622178	300859	2931
																		'PTPRJ'	0.36	641863	337091	5256
																		'NME2.uid_22046'	0.36	791229	277921	3219
																		'ETHE1'	0.36	403033	199481	2636
																		'TMCO3'	0.36	800958	378215	2761
																		'TMEM222'	0.36	830746	409841	3936
																		'KDM4B'	0.36	1085803	566686	2744
																		'FAM127C'	0.36	1075971	556850	4313
																		'RPUSD3'	0.36	654460	376514	2696
																		'NAPB'	0.36	434853	230634	1652
																		'FLJ10038'	0.36	973492	359332	2009
																		'RNF41'	0.36	800658	366597	3920
																		'CREBBP'	0.36	706985	125893	2181
																		'IRS2'	0.36	620305	308505	2738
																		'ZNF263'	0.36	987566	485962	5028
																		'TFDP1'	0.36	1375973	397925	3839
																		'CES4A'	0.36	878586	420356	4034
																		'CENPBD1P1'	0.36	367381	156852	3513
																		'SSR4'	0.36	777696	270466	3136
																		'FAM122A'	0.36	443984	190367	3341
																		'GRIPAP1'	0.36	688953	380860	2165
																		'TMEM9'	0.36	814794	296240	3542
																		'PRCC'	0.36	904729	466027	3030
																		'KXD1'	0.36	799578	438744	3269
																		'GAK'	0.36	872937	506832	2650
																		'VAV2'	0.36	731297	56296	1204
																		'MAEA'	0.36	358275	174622	3361
																		'SGSM2'	0.36	632411	260417	3295
																		'SLC25A25'	0.36	846607	358433	3133
																		'CDC25B'	0.36	622144	280789	3181
																		'ACBD6'	0.36	420658	204534	6597
																		'NT5DC2'	0.36	458224	203213	6885
																		'CAPN15'	0.36	349841	163124	7061
																		'IMPDH1'	0.36	1005127	330668	7027
																		'NR1H2'	0.36	321096	145029	6872
																		'ALDH5A1'	0.36	252202	132520	7419
																		'RGS14'	0.36	264982	102664	6668
																		'SYP'	0.36	439493	232102	7144
																		'SMNDC1'	0.36	527542	7807	1173
																		'CELF6'	0.36	327990	178268	7831
																		'ATAD3A'	0.36	335219	159477	7899
																		'MIR6796'	0.36	301683	171770	6940
																		'PIP5K1C'	0.36	369487	218636	7843
																		'CDK5RAP2'	0.36	561183	262285	5848
																		'LOC93622'	0.36	777446	239068	7067
																		'CNPPD1'	0.35	648293	302674	7083
																		'HIC1'	0.35	424957	219317	6502
																		'PACSIN2'	0.35	662779	10292	1021
																		'SRRT'	0.35	1030147	411387	6289
																		'EIF3J'	0.35	613923	291558	8010
																		'SIX5'	0.35	466414	281470	7159
																		'TMEM248'	0.35	406058	240887	7008
																		'BCAS4'	0.35	410660	239495	8026
																		'C19orf53'	0.35	455633	197938	6723
																		'TNFRSF1A'	0.35	493000	224828	8483
																		'CLCN6'	0.35	715781	251450	6353
																		'RFWD2'	0.35	430028	142094	6222
																		'BSPRY'	0.35	848361	317141	8395
																		'SIPA1L3'	0.35	294791	132690	6807
																		'DANCR'	0.35	1259227	676679	7097
																		'UBXN6'	0.35	1134379	335236	6894
																		'CHMP6'	0.35	504447	21923	2387
																		'SARM1'	0.35	425302	193758	6540
																		'TOM1L2'	0.35	633839	355684	6555
																		'ZNF718'	0.35	438897	224088	7008
																		'NOP14'	0.35	399059	177393	6692
																		'FBXO41'	0.35	332314	149769	7123
																		'YBEY'	0.35	513961	183863	6687
																		'FARP1'	0.35	337122	147900	7084
																		'PLEKHM2'	0.35	412997	213137	6412
																		'CCDC64'	0.35	523425	256637	8112
																		'FDX1L'	0.35	274243	103832	7535
																		'TMEM51'	0.35	386779	193601	7366
																		'NAA10'	0.35	736557	349578	6773
																		'ST3GAL1'	0.35	431303	218886	7324
																		'DCAF15'	0.35	480681	223552	7229
