"x"
"NA -0.321 NA NA NA 0.51"
"NA -0.605 NA NA NA 0.518"
"NA -0.443 NA NA NA 0.593"
"NA -0.479 NA NA NA 0.43"
"NA -0.371 NA NA NA 0.587"
"NA -0.536 NA NA NA 0.502"
"NA -0.399 NA NA NA 0.417"
"NA -0.517 NA NA NA 0.511"
"NA -0.49 NA NA NA 0.306"
"NA -0.553 NA NA NA 0.18"
"NA -0.741 NA NA NA 0.534"
"NA NA NA NA NA 0.571"
"NA NA NA NA NA 0.471"
"NA NA NA NA NA 0.501"
"NA NA NA NA NA 0.48"
"NA NA NA NA NA 0.614"
"NA NA NA NA NA 0.33"
"NA NA NA NA NA 0.383"
"NA NA NA NA NA 0.556"
"NA NA NA NA NA 0.488"
"NA NA NA NA NA 0.135"
"NA NA NA NA NA 0.543"
"NA NA NA NA NA 0.48"
"NA NA NA NA NA 0.4"
"NA NA NA NA NA 0.544"
"NA NA NA NA NA 0.537"
"NA NA NA NA NA 0.278"
"NA NA NA NA NA 0.57"
"NA NA NA NA NA 0.407"
"NA NA NA NA NA 0.424"
"NA NA NA NA NA 0.323"
"NA NA NA NA NA 0.168"
"NA NA NA NA NA 0.373"
"NA NA NA NA NA 0.361"
"NA NA NA NA NA 0.133"
"NA NA NA NA NA 0.47"
"NA NA NA NA NA 0.475"
"NA NA NA NA NA 0.276"
"NA NA NA NA NA 0.484"
"NA NA NA NA NA 0.459"
"NA NA NA NA NA 0.538"
"NA NA NA NA NA 0.431"
"NA NA NA NA NA 0.576"
"NA NA NA NA NA 0.528"
"NA NA NA NA NA 0.389"
"NA NA NA NA NA 0.449"
"NA NA NA NA NA 0.124"
"NA NA NA NA NA 0.551"
"NA NA NA NA NA 0.371"
"NA NA NA NA NA 0.37"
"NA NA NA NA NA 0.512"
"NA NA NA NA NA 0.25"
"NA NA NA NA NA 0.603"
"NA NA NA NA NA 0.613"
"NA NA NA NA NA 0.536"
"NA NA NA NA NA 0.524"
"NA NA NA NA NA 0.573"
"NA NA NA NA NA 0.452"
"NA NA NA NA NA 0.58"
"NA NA NA NA NA 0.45"
"NA NA NA NA NA 0.47"
"NA NA NA NA NA 0.422"
"NA NA NA NA NA 0.36"
"NA NA NA NA NA 0.497"
"NA NA NA NA NA 0.461"
"NA NA NA NA NA 0.487"
"NA NA NA NA NA 0.588"
"NA NA NA NA NA 0.323"
"NA NA NA NA NA 0.517"
"NA NA NA NA NA 0.555"
"NA NA NA NA NA 0.539"
"NA NA NA NA NA 0.347"
"NA NA NA NA NA 0.49"
"NA NA NA NA NA 0.516"
"NA NA NA NA NA 0.474"
"NA NA NA NA NA 0.494"
"NA NA NA NA NA 0.394"
"NA NA NA NA NA 0.341"
"NA NA NA NA NA 0.404"
"NA NA NA NA NA 0.483"
"NA NA NA NA NA 0.519"
"NA NA NA NA NA 0.406"
"NA NA NA NA NA 0.373"
"NA NA NA NA NA 0.455"
"NA NA NA NA NA 0.461"
"NA NA NA NA NA 0.461"
"NA NA NA NA NA 0.547"
"NA NA NA NA NA 0.466"
"NA NA NA NA NA 0.429"
"NA NA NA NA NA 0.347"
"NA NA NA NA NA 0.346"
"NA NA NA NA NA 0.503"
"NA NA NA NA NA 0.391"
"NA NA NA NA NA 0.456"
"NA NA NA NA NA 0.492"
"NA NA NA NA NA 0.2"
"NA NA NA NA NA 0.342"
"NA NA NA NA NA 0.175"
"NA NA NA NA NA 0.352"
"NA NA NA NA NA 0.541"
"NA NA NA NA NA 0.311"
"NA NA NA NA NA 0.238"
"NA NA NA NA NA 0.553"
"NA NA NA NA NA 0.428"
"NA NA NA NA NA 0.429"
"NA NA NA NA NA 0.11"
"NA NA NA NA NA 0.536"
"NA NA NA NA NA 0.463"
"NA NA NA NA NA 0.436"
"NA NA NA NA NA 0.493"
"NA NA NA NA NA 0.582"
"NA NA NA NA NA 0.381"
"NA NA NA NA NA 0.382"
"NA NA NA NA NA 0.494"
"NA NA NA NA NA 0.376"
"NA NA NA NA NA 0.498"
"NA NA NA NA NA 0.399"
"NA NA NA NA NA 0.566"
"NA NA NA NA NA 0.416"
"NA NA NA NA NA 0.403"
"NA NA NA NA NA 0.535"
"NA NA NA NA NA 0.561"
"NA NA NA NA NA 0.352"
"NA NA NA NA NA 0.385"
"NA NA NA NA NA 0.129"
"NA NA NA NA NA 0.539"
"NA NA NA NA NA 0.549"
"NA NA NA NA NA 0.563"
"NA NA NA NA NA 0.472"
"NA NA NA NA NA 0.458"
"NA NA NA NA NA 0.473"
"NA NA NA NA NA 0.432"
"NA NA NA NA NA 0.501"
"NA NA NA NA NA 0.586"
"NA NA NA NA NA 0.588"
"NA NA NA NA NA 0.444"
"NA NA NA NA NA 0.307"
"NA NA NA NA NA 0.537"
"NA NA NA NA NA 0.456"
"NA NA NA NA NA 0.532"
"NA NA NA NA NA 0.464"
"NA NA NA NA NA 0.467"
"NA NA NA NA NA 0.439"
"NA NA NA NA NA 0.518"
"NA NA NA NA NA 0.292"
"NA NA NA NA NA 0.516"
"NA NA NA NA NA 0.408"
"NA NA NA NA NA 0.58"
"NA NA NA NA NA 0.259"
"NA NA NA NA NA 0.405"
"NA NA NA NA NA 0.486"
"NA NA NA NA NA 0.317"
"NA NA NA NA NA 0.441"
"NA NA NA NA NA 0.467"
"NA NA NA NA NA 0.248"
"NA NA NA NA NA 0.502"
"NA NA NA NA NA 0.516"
"NA NA NA NA NA 0.581"
"NA NA NA NA NA 0.401"
"NA NA NA NA NA 0.361"
"NA NA NA NA NA 0.455"
"NA NA NA NA NA 0.112"
"NA NA NA NA NA 0.381"
"NA NA NA NA NA 0.434"
"NA NA NA NA NA 0.431"
"NA NA NA NA NA 0.4"
"NA NA NA NA NA 0.537"
"NA NA NA NA NA 0.454"
"NA NA NA NA NA 0.264"
"NA NA NA NA NA 0.507"
"NA NA NA NA NA 0.386"
"NA NA NA NA NA 0.499"
"NA NA NA NA NA 0.409"
"NA NA NA NA NA 0.483"
"NA NA NA NA NA 0.362"
"NA NA NA NA NA 0.472"
"NA NA NA NA NA 0.37"
"NA NA NA NA NA 0.439"
"NA NA NA NA NA 0.476"
"NA NA NA NA NA 0.498"
"NA NA NA NA NA 0.352"
"NA NA NA NA NA 0.468"
"NA NA NA NA NA 0.526"
"NA NA NA NA NA 0.364"
"NA NA NA NA NA 0.199"
"NA NA NA NA NA 0.409"
"NA NA NA NA NA 0.409"
"NA NA NA NA NA 0.345"
"NA NA NA NA NA 0.531"
"NA NA NA NA NA 0.169"
"NA NA NA NA NA 0.502"
"NA NA NA NA NA 0.499"
"NA NA NA NA NA 0.203"
"NA NA NA NA NA 0.452"
"NA NA NA NA NA 0.413"
"NA NA NA NA NA 0.553"
"NA NA NA NA NA 0.526"
"NA NA NA NA NA 0.493"
"NA NA NA NA NA 0.386"
"NA NA NA NA NA 0.39"
"NA NA NA NA NA 0.316"
"NA NA NA NA NA 0.376"
"NA NA NA NA NA 0.263"
"NA NA NA NA NA 0.405"
"NA NA NA NA NA 0.177"
"NA NA NA NA NA 0.559"
"NA NA NA NA NA 0.118"
"NA NA NA NA NA 0.443"
"NA NA NA NA NA 0.476"
"NA NA NA NA NA 0.392"
"NA NA NA NA NA 0.376"
"NA NA NA NA NA 0.431"
"NA NA NA NA NA 0.4"
"NA NA NA NA NA 0.4"
"NA NA NA NA NA 0.427"
"NA NA NA NA NA 0.487"
"NA NA NA NA NA 0.508"
"NA NA NA NA NA 0.456"
"NA NA NA NA NA 0.493"
"NA NA NA NA NA 0.418"
"NA NA NA NA NA 0.441"
"NA NA NA NA NA 0.194"
"NA NA NA NA NA 0.563"
"NA NA NA NA NA 0.542"
"NA NA NA NA NA 0.453"
"NA NA NA NA NA 0.505"
"NA NA NA NA NA 0.538"
"NA NA NA NA NA 0.361"
"NA NA NA NA NA 0.483"
"NA NA NA NA NA 0.348"
"NA NA NA NA NA 0.5"
"NA NA NA NA NA 0.137"
"NA NA NA NA NA 0.235"
"NA NA NA NA NA 0.44"
"NA NA NA NA NA 0.454"
"NA NA NA NA NA 0.393"
"NA NA NA NA NA 0.506"
"NA NA NA NA NA 0.329"
"NA NA NA NA NA 0.43"
"NA NA NA NA NA 0.502"
"NA NA NA NA NA 0.558"
"NA NA NA NA NA 0.483"
"NA NA NA NA NA 0.431"
"NA NA NA NA NA 0.371"
"NA NA NA NA NA 0.53"
"NA NA NA NA NA 0.489"
"NA NA NA NA NA 0.381"
"NA NA NA NA NA 0.401"
"NA NA NA NA NA 0.419"
"NA NA NA NA NA 0.52"
"NA NA NA NA NA 0.452"
"NA NA NA NA NA 0.033"
"NA NA NA NA NA 0.531"
"NA NA NA NA NA 0.44"
"NA NA NA NA NA 0.411"
"NA NA NA NA NA 0.391"
"NA NA NA NA NA 0.487"
"NA NA NA NA NA 0.179"
"NA NA NA NA NA 0.33"
"NA NA NA NA NA 0.502"
"NA NA NA NA NA 0.344"
"NA NA NA NA NA 0.415"
"NA NA NA NA NA 0.374"
"NA NA NA NA NA 0.295"
"NA NA NA NA NA 0.488"
"NA NA NA NA NA 0.517"
"NA NA NA NA NA 0.272"
"NA NA NA NA NA 0.552"
"NA NA NA NA NA 0.368"
"NA NA NA NA NA 0.472"
"NA NA NA NA NA 0.335"
"NA NA NA NA NA 0.362"
"NA NA NA NA NA 0.494"
"NA NA NA NA NA 0.445"
"NA NA NA NA NA 0.239"
"NA NA NA NA NA 0.463"
"NA NA NA NA NA 0.412"
"NA NA NA NA NA 0.436"
"NA NA NA NA NA 0.385"
"NA NA NA NA NA 0.51"
"NA NA NA NA NA 0.317"
"NA NA NA NA NA 0.529"
"NA NA NA NA NA 0.313"
"NA NA NA NA NA 0.348"
"NA NA NA NA NA 0.227"
"NA NA NA NA NA 0.44"
"NA NA NA NA NA 0.49"
"NA NA NA NA NA 0.346"
"NA NA NA NA NA 0.41"
"NA NA NA NA NA 0.483"
"NA NA NA NA NA 0.358"
"NA NA NA NA NA 0.301"
"NA NA NA NA NA 0.418"
"NA NA NA NA NA 0.131"
"NA NA NA NA NA 0.391"
"NA NA NA NA NA 0.382"
"NA NA NA NA NA 0.516"
"NA NA NA NA NA 0.123"
"NA NA NA NA NA 0.355"
"NA NA NA NA NA 0.419"
"NA NA NA NA NA 0.337"
"NA NA NA NA NA 0.43"
"NA NA NA NA NA 0.387"
"NA NA NA NA NA 0.295"
"NA NA NA NA NA 0.444"
"NA NA NA NA NA 0.44"
"NA NA NA NA NA 0.428"
"NA NA NA NA NA -0.315"
"NA NA NA NA NA -0.321"
"NA NA NA NA NA -0.357"
"NA NA NA NA NA -0.363"
"NA NA NA NA NA -0.245"
"NA NA NA NA NA -0.337"
"NA NA NA NA NA -0.231"
"NA NA NA NA NA -0.56"
"NA NA NA NA NA -0.294"
"NA NA NA NA NA -0.575"
"NA NA NA NA NA -0.279"
"NA NA NA NA NA -0.116"
"NA NA NA NA NA -0.35"
"NA NA NA NA NA -0.517"
"NA NA NA NA NA -0.489"
"NA NA NA NA NA -0.256"
"NA NA NA NA NA -0.556"
"NA NA NA NA NA -0.364"
"NA NA NA NA NA -0.553"
"NA NA NA NA NA -0.474"
"NA NA NA NA NA -0.226"
"NA NA NA NA NA -0.536"
"NA NA NA NA NA -0.033"
"NA NA NA NA NA -0.389"
"NA NA NA NA NA -0.364"
"NA NA NA NA NA -0.366"
"NA NA NA NA NA -0.399"
"NA NA NA NA NA -0.524"
"NA NA NA NA NA -0.43"
"NA NA NA NA NA -0.605"
"NA NA NA NA NA -0.284"
